review Yesterday,50,"Fantastic food & drinks at outdoor movie night, Pix on the Plaza","My friends and I watched 10 Things I Hate About You while eating delicious dishes (the salmon, the gnocchi, and the burger were all 10/10 excellent) and drinking fun cocktails, outdoors on the Standard's plaza. Also great service. My friends said it was the highlight of their month to have a night out and do something fun but still stay COVID safe outdoors, and I agreed. We will definitely be coming back for more Pix on the Plaza movie screening nights."
May 3,50,Artsy. Modern. Wonderful.,Artsy. Modern. Clean. Such a wonderful front desk crew. Great location of town in terms of getting around. Tons of neighboring restaurants and coffee shops. The Chelsea market is only a block away and is filled with great places to eat as well as cool shops. The highline is a block away and it’s such a great walk in view of the river. The Whitney Museum is two blocks away. Seriously had such a great time. Highly recommend.
May 3,50,Birthday weekend,"Absolutely loved staying here. Corner king room was very clean and comfortable. The bedside speaker came in handy late night/ early morning when I could hear someone from below enjoying themselves. The bath is so relaxing. Awesome views, great food, and friendly staff. I can't wait to go back!"
May 3,50,Review for the restaurant only. Pleasant surprise in very busy neighborhood.,"Reception a little cold , due probably to many diners arriving at once all with reservations, but once seated, excelllent oysters, good service (Mark) and an unusual and tasty mussels preparation. A warm place in the middle of crazy and loud Meatpacking neighborhood. Nice decor too. Keep it personal. I recommend this place. Reservations strongly recommended.  You should give a spoon with the mussels. So much sauce. And so good..."
May 1,50,"Great business trip, with a touch of pleasure.","What great trip to NYC and as always the PHENOMINAL Standard high line!! Mandee took great care of us at check in, and check out. Have to say, all of the staff are so friendly and accommodating. If you’re going to be in NYC, go straight to the meatpacking dos truck and art at the standard."
Apr 2021,50,Make sure to check out the Standard Grill!,"We had a great evening celebrating our anniversary as part of their ""Pix on the Plaza"" outdoor movie + dinner :) Great burgers, and amazing warm cookies! Great service by the entire staff at the Standard Grill"
Apr 2021,50,"Great views, room and staff!","Amazing view of the Freedom Tower, Greenwich Village, the Whitney Museum, the Hudson River and Hoboken!  Room was small, mostly the bed, but has a nice seating area and ,really, who cares with that magnificent view! Soaking tub was a treat! Amazing water pressure. Even the included toiletries were really nice!  Entire wall was a Floor to ceiling window (yes, there are room darkening AND sheer curtains!)  Our room (1518) was right off the elevator area but it was extremely quiet!  Great location, it is at the border of Chelsea and West Greenwich Village. The southern entrance to the High Line is at the opposite end of the block! An Icon Parking Garage was a few blocks away and cost 35$ per 24 hour period if staying at the Standard. Really easy loading in front of the hotel. Not on a busy street.  Yes, the design is modern and hip but we felt at home. The staff was friendly and helpful. Made us very comfortable  We went to The Standard Grill for breakfast twice and drinks/apps, it was very good! Next time we will try Hector’s Cafe next to the entrance to the High Line. They had great coffee!"
Apr 2021,40,Comfy room w/ nice views,"Stayed in the Hudson Studio. View was amazing. Bed and seating area was nice. I really liked the paved bike lanes nearby and the Citi Bike rental right behind the hotel. Front desk staff were friendly and room service came quick. Bath tub was great although I was too short (5'0"") for it and kept going under when I leaned back. I did think it was weird that inside the restaurant I had to buy food in order to buy alcohol, but that wasnt the case for room service. Overall I would stay again."
Apr 2021,40,Cool kids only,"Small but very quiet room. Comfortable but no shower door let a lot of water out, hard to keep it dry in front of sink . Overall design and decor is trendy and modern. Loved the elevator display screens. Interesting views of the Highline. Watch out if you don't close the curtains! Floor to ceiling glass directly facing office buildings. Fortunately they were mostly empty. Nice redeveloped neighborhood with lots of new fancy shops."
Apr 2021,40,Amal is the best!,"Staff at this hotel is exceptional, Amal is truly fabulous and so kind!    One thing I will say is there really is no “blanket” in the room. So request 2 blankets if you’re a cold sleeper. Other than that, everything was special."
Apr 2021,10,Beware of miscellaneous charges.,"While the staff at the hotel were terrific and accommodating, the hotel room was tiny, but comfortable, I was charged with dubious room service charges and the hotel ghosted me on a resolution.    I traveled to NYC for work and when I returned home after my stay I saw I was charged $70 in room service. When I tried to address the erroneous charges I received an email with even more charges. I wrote several frustrated emails and they just ignored them. I am out about $120 dollars in room service charges, orders made when I was working and not at the hotel. I even cc'd my bosses on the correspondence who corraborated that I was indeed not at the hotel when those charges were made.    Infuriating. So check your cc statements after being there, it could be some form of scam operating internally."
Apr 2021,50,"Great location, great views, great service","As a New Yorker, only on a few occasions have I stayed at hotels in NYC. I've been a regular at The Standard Miami and decided to stay a little staycation in my city. I stayed at The Standard High Line which was amazing: great location, great views and great service."
Apr 2021,50,Pix on the Plaza with Andy!,"Gathered with a gaggle of pals for The Standard, High Line’s weekly outdoor movie night, Pix on the Plaza! The venue is terrific - all the tables outside are spread out with their own Bluetooth speakers and great views of the screen, and there’s free popcorn and the full Standard Grill menu. We went for the 4/20 special screening of Dazed & Confused. Andy was our server and he’s the best! He was so friendly and charming and made some great wine recommendations and told us about the special holiday menu. We ordered disco fries and chicken wings to share, and I had the vegetarian spiced chickpea burger as my entree and the Ginger Baby cocktail. Yum, yum, yum! All was delish. It was such a blast and can’t wait to come back for another flick."
Apr 2021,50,Standard Grille,"Ben welcomed us to the Grille. Atmosphere was exquisite, we were well separated from other guests and felt safe. The food was delicious and Ben made sure we had an excellent time. I highly recommend. It was great!"
Apr 2021,50,Anniversary Staycation!,We booked the Corner King with the Bubbles package and loved it! Stunning views and the bathtub was amazing. The staff was so nice and helpful. We asked if they had anything for us to have a bubble bath and they were able to provide that. We came to celebrate our 2nd anniversary and we couldn't have had a more perfect time. Gorgeous hotel. We booked a table at Le Bain one night and enjoyed every second of it. The Standard Grill had delicious food. Everyone was so kind; I cannot stress that enough. I recommend this hotel to everyone I know!
Apr 2021,50,Great stay!,"Location is perfect. Room was simple and clean. We had dinner at the Standard Grill both nights, food + service was fantastic. We loved Ally our server. Returning again this upcoming weekend to meet with clients."
Apr 2021,50,Home Away From Home,"I have been a regular guest of this hotel for many years. The hotel is like a home away from home. Very trendy place in a great location that attracts a trendy crowd. The staff is extremely helpful, especially given the current Covid-19 crisis. The staff, including Ha Tran at the front desk is very professional and helpful. My regular Deluxe King room is always beautifully appointed, very quiet with spectacular views. I'm actually going back in a few days and can't wait. Thank you, The Standard, for a delightful visit each time."
Apr 2021,50,Birthday,Amazing! Ally was the best! So accommodating and a pleasure to talk to! She Was very knowledgeable of the drink menu and suggested a loving pairing with my dish ordered! Not to mention her beautiful curls!
Apr 2021,50,Great Night,"My girlfriend and I had the pleasure of staying at the standard high line on a weekday. It was a “staycation.” We had beautiful views of the city skyline and the staff was attentive, friendly and helpful!"
